code,description
Fiction,"Books that contain fictional stories and narratives."
Science,"Books that explore scientific concepts, discoveries, and theories."
Cooking,"Books that provide recipes, cooking techniques, and culinary knowledge."
Fantasy,"Books that feature magical or supernatural elements in a fictional setting."
Hobby,"Books that cover various hobbies and leisure activities."
Adventure,"Books that involve exciting and often risky journeys or experiences."        
Self-Help,"Books that offer advice and strategies for personal development and improvement."
Non-Fiction,"Books that present factual information and real events."
Art,"Books that focus on various forms of art, including visual arts, architecture, and design."
Children,"Books that are specifically written for and targeted towards children."
